key,count,cp_Description,cp_setSize,cp_enrichmentScore,cp_NES,cp_pvalue,cp_p.adjust,cp_qvalue,cp_rank,cp_leading_edge,cp_core_enrichment,gp_query,gp_significant,gp_p_value,gp_term_size,gp_query_size,gp_intersection_size,gp_precision,gp_recall,gp_source,gp_term_name,gp_effective_domain_size,gp_source_order,gp_parents,go_Term,go_Annotated,go_Significant,go_Expected,go_Rank in elimFisher,go_classicFisher,go_elimFisher
GO:0006954,2,inflammatory response,260.0,-0.362280322915507,-1.38580418783594,0.002055467114058,0.0345012703194368,0.0293254986259692,1485.0,"tags=31%, list=21%, signal=25%",8087/207/1652/5925/961/6223/1540/1291/55870/3588/7525/55450/405/6774/8773/472/2778/2353/25875/4792/222236/90/5610/3133/4790/51542/834/10769/3572/975/9830/604/4035/51063/2896/23646/80762/84675/10318/7474/8455/6737/3430/8473/3988/26060/9839/7114/2633/5737/3554/283131/3339/4192/9867/9314/30817/83700/3428/1191/22933/5359/4086/8605/51704/624/3082/11274/144811/2534/10628/5587/27250/6347/445/9473/2634/57326/5919/3479,,,,,,,,,,,,,,inflammatory response,251.0,198.0,171.08,23.0,8.2e-05,0.00332
GO:0048525,2,negative regulation of viral process,43.0,-0.594140777246933,-1.91543776869212,4.22126425915433e-05,0.0029291296691439,0.0024897108799896,769.0,"tags=42%, list=11%, signal=38%",9830/10318/6737/57169/10410/81603/3428/9683/9636/8519/5359/4599/6772/4939/4938/64135/3434/91543,,,,,,,,,,,,,,negative regulation of viral process,40.0,35.0,27.26,26.0,0.00436,0.00428
GO:0048738,2,cardiac muscle tissue development,102.0,-0.435465424661984,-1.56674183710254,0.0009962973799469,0.0232583905594522,0.0197692402070546,2077.0,"tags=47%, list=29%, signal=34%",25776/1385/60485/8841/4089/6416/90410/4205/6443/7528/10370/144165/2065/5156/6444/80206/11214/23345/10818/5592/5159/3398/79810/90/1301/115701/657/205428/54583/2697/7046/55553/5573/9686/23363/3720/9472/6546/5997/4086/9242/26011/4208/57538/7135/70/7139/3479,,,,,,,,,,,,,,cardiac muscle tissue development,99.0,81.0,67.48,14.0,0.00159,0.00154
GO:1901701,2,cellular response to oxygen-containing compound,474.0,-0.329677569190564,-1.29089810933504,0.0022753986584725,0.0366772593282356,0.0311750526307011,1752.0,"tags=31%, list=24%, signal=25%",6443/8452/3480/1509/6599/6198/4780/151556/2033/4061/4088/4149/4217/4313/114882/3032/7249/1979/29904/207/5925/3716/388/6872/490/79752/5608/10270/1291/2235/5156/7525/4882/55667/3709/8615/538/54434/23236/6774/23097/472/9882/2778/55023/2353/22841/5159/51510/4792/79577/8835/1140/1911/100381270/3638/5007/5532/4790/4233/5295/8202/2241/51542/781/834/1374/23064/840/23304/23189/2932/7157/5584/55022/51135/4035/6654/85363/5311/2697/2081/9640/10318/7474/6659/23371/59338/567/64397/10142/26137/8473/6591/5164/6655/26060/55777/11179/54464/1605/2309/5573/7155/5737/9181/375748/116151/9472/10060/2030/10417/8648/5290/19/6546/54331/114907/847/3676/677/8503/780/216/27244/3082/6772/687/6495/2534/94241/7832/3481/1958/5587/3488/27250/6347/4208/445/2634/4593/5919/5176/1134/2308/1146/3479,,,,,,,,,,,,,,cellular response to oxygen-containing c...,446.0,337.0,303.99,13.0,0.00024,0.00144
GO:1904646,2,cellular response to amyloid-beta,18.0,-0.62288702830556,-1.6696061349299,0.0036061729405952,0.0491552835056971,0.0417811629994782,921.0,"tags=44%, list=13%, signal=39%",781/2932/4035/2697/2309/3676/2534/3479,,,,,,,,,,,,,,cellular response to amyloid-beta,18.0,18.0,12.27,8.0,0.001,0.00099
GO:1902099,1,regulation of metaphase/anaphase transition of cell cycle,74.0,0.34961827729821,1.73470233735621,0.0004250009004006,0.0132644988003589,0.0112746005507209,908.0,"tags=35%, list=13%, signal=31%",9735/55781/6601/991/990/11130/4085/7175/51776/891/5347/55055/221150/54908/332/55143/220134/9787/9184/147841/9212/57082/57405/699/701/83540,,,,,,,,,,,,,,,,,,,,
GO:1902100,1,negative regulation of metaphase/anaphase transition of cell cycle,42.0,0.511520580948546,2.2531406145503,1.59219384931018e-05,0.0014541874409077,0.0012360348301788,908.0,"tags=50%, list=13%, signal=44%",9735/991/11130/4085/7175/891/5347/55055/221150/54908/332/55143/220134/9184/147841/9212/57082/57405/699/701/83540,,,,,,,,,,,,,,,,,,,,
GO:1902108,1,regulation of mitochondrial membrane permeability involved in apoptotic process,23.0,-0.581468657689795,-1.63616946179441,0.002567026677796,0.0399511968015617,0.0339578443362415,838.0,"tags=30%, list=12%, signal=27%",282991/2932/7157/665/10449/152926/10018,,,,,,,,,,,,,,,,,,,,
GO:1902531,1,,,,,,,,,,,,,,,,,,,,,,,,regulation of intracellular signal trans...,839.0,611.0,571.86,29.0,0.00097,0.0045
GO:1902600,1,,,,,,,,,,,,,,,,,,,,,,,,proton transmembrane transport,111.0,89.0,75.66,20.0,0.00317,0.00307
GO:1902749,1,regulation of cell cycle G2/M phase transition,81.0,0.320916980111558,1.64469642821204,0.0010520367287792,0.0238735932530796,0.020292152134054,722.0,"tags=26%, list=10%, signal=24%",4998/65123/4683/9555/641/6240/63967/51514/9525/990/672/891/5347/64859/79915/29980/5932/351/55031/10111/25942,,,,,,,,,,,,,,,,,,,,
GO:1902750,1,negative regulation of cell cycle G2/M phase transition,51.0,0.413229453883285,1.93153043610905,0.0005094526372826,0.0148877454146906,0.0126543328306474,714.0,"tags=29%, list=10%, signal=27%",4998/65123/4683/9555/641/63967/51514/990/672/5347/64859/29980/5932/55031/10111,,,,,,,,,,,,,,,,,,,,
GO:1902850,1,microtubule cytoskeleton organization involved in mitosis,119.0,0.2783826185309,1.59737832658526,0.0011849637926534,0.0258476057018188,0.0219700294648645,908.0,"tags=30%, list=13%, signal=27%",3832/9055/29072/991/9639/2316/29127/9525/10460/29128/4085/8658/7175/891/5347/54908/332/55143/3688/7415/9787/5901/4751/24137/7283/6491/3611/4605/9212/57405/22974/9126/51652/440145/9493/83540,,,,,,,,,,,,,,,,,,,,
GO:1902969,1,mitotic DNA replication,12.0,0.674287909381162,2.03513873808371,0.0014352048786871,0.028637707158839,0.024341568706365,1064.0,"tags=75%, list=15%, signal=64%",8318/7083/10269/5422/675/4172/51507/4173/4175,,,,,,,,,,,,,,,,,,,,
GO:1903037,1,regulation of leukocyte cell-cell adhesion,133.0,-0.423564338720072,-1.56820743878052,0.0008212240526739,0.0213949603892896,0.0181853559503667,839.0,"tags=24%, list=12%, signal=22%",3572/10385/975/604/7048/80762/3958/149041/3105/6659/567/8654/6604/2309/5573/3659/4192/5290/23240/9314/22890/3676/868/27242/2534/3481/1803/6347/445/64115/10673/3479,,,,,,,,,,,,,,,,,,,,
GO:1903038,1,negative regulation of leukocyte cell-cell adhesion,49.0,-0.523549953664462,-1.72011190327959,0.0014075897071221,0.0285549826469742,0.0242712542647063,1478.0,"tags=39%, list=20%, signal=31%",207/55824/65125/3133/10385/604/80762/3958/149041/8654/5573/3659/4192/23240/9314/868/27242/445/64115,,,,,,,,,,,,,,,,,,,,
