"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,3.23596389528129e-48,165,747,66,0.0883534136546185,0.4,"GO:0002181","GO:BP","cytoplasmic translation",21026,727,"GO:0006412"
"query_1",TRUE,9.24585312938384e-36,727,747,110,0.147255689424364,0.15130674002751,"GO:0006412","GO:BP","translation",21026,2162,"GO:0009059,GO:0010467,GO:0019538"
"query_1",TRUE,3.22023415493698e-25,4721,747,300,0.401606425702811,0.0635458589281932,"GO:0019538","GO:BP","protein metabolic process",21026,5841,"GO:0043170,GO:0044238"
"query_1",TRUE,5.44961912052666e-11,146,747,29,0.0388219544846051,0.198630136986301,"GO:0006119","GO:BP","oxidative phosphorylation",21026,1972,"GO:0009060"
"query_1",TRUE,1.04610720629011e-10,323,747,43,0.0575635876840696,0.13312693498452,"GO:0042254","GO:BP","ribosome biogenesis",21026,9967,"GO:0022613"
"query_1",TRUE,5.98071708767669e-09,91,747,21,0.0281124497991968,0.230769230769231,"GO:0019646","GO:BP","aerobic electron transport chain",21026,5935,"GO:0006119,GO:0009060,GO:0022904"
"query_1",TRUE,1.0317578954444e-08,104,747,22,0.0294511378848728,0.211538461538462,"GO:0042274","GO:BP","ribosomal small subunit biogenesis",21026,9978,"GO:0022613,GO:0042254"
"query_1",TRUE,1.68730389319959e-08,199,747,30,0.0401606425702811,0.150753768844221,"GO:0009060","GO:BP","aerobic respiration",21026,3222,"GO:0045333"
"query_1",TRUE,2.00473189922878e-08,99,747,21,0.0281124497991968,0.212121212121212,"GO:0042773","GO:BP","ATP synthesis coupled electron transport",21026,10265,"GO:0006119,GO:0022904"
"query_1",TRUE,2.00473189922878e-08,99,747,21,0.0281124497991968,0.212121212121212,"GO:0042775","GO:BP","mitochondrial ATP synthesis coupled electron transport",21026,10267,"GO:0042773"
"query_1",TRUE,3.26325858897247e-08,1855,747,120,0.160642570281124,0.0646900269541779,"GO:0051246","GO:BP","regulation of protein metabolic process",21026,13411,"GO:0019538,GO:0060255,GO:0080090"
"query_1",TRUE,3.26325858897247e-08,102,747,21,0.0281124497991968,0.205882352941176,"GO:0006754","GO:BP","ATP biosynthetic process",21026,2443,"GO:0009152,GO:0009206,GO:0046034"
"query_1",TRUE,7.38560726553534e-08,242,747,32,0.0428380187416332,0.132231404958678,"GO:0045333","GO:BP","cellular respiration",21026,11198,"GO:0015980"
"query_1",TRUE,7.38560726553534e-08,229,747,31,0.0414993306559572,0.135371179039301,"GO:0046034","GO:BP","ATP metabolic process",21026,11649,"GO:0009150,GO:0009205"
"query_1",TRUE,8.16407714461792e-08,423,747,44,0.0589022757697456,0.104018912529551,"GO:0016032","GO:BP","viral process",21026,5047,"GO:0008150"
"query_1",TRUE,1.22463226100349e-07,478,747,47,0.0629183400267738,0.098326359832636,"GO:0006091","GO:BP","generation of precursor metabolites and energy",21026,1950,"GO:0008152"
"query_1",TRUE,1.56838095052179e-07,113,747,21,0.0281124497991968,0.185840707964602,"GO:0009206","GO:BP","purine ribonucleoside triphosphate biosynthetic process",21026,3358,"GO:0009145,GO:0009201,GO:0009205"
"query_1",TRUE,1.56838095052179e-07,310,747,36,0.0481927710843374,0.116129032258065,"GO:0019058","GO:BP","viral life cycle",21026,5525,"GO:0016032"
"query_1",TRUE,1.70456057544302e-07,114,747,21,0.0281124497991968,0.184210526315789,"GO:0009145","GO:BP","purine nucleoside triphosphate biosynthetic process",21026,3298,"GO:0009142,GO:0009144"
"query_1",TRUE,1.91595574650235e-07,115,747,21,0.0281124497991968,0.182608695652174,"GO:0022904","GO:BP","respiratory electron transport chain",21026,6598,"GO:0022900,GO:0045333"
"query_1",TRUE,3.50914497943485e-07,119,747,21,0.0281124497991968,0.176470588235294,"GO:0009201","GO:BP","ribonucleoside triphosphate biosynthetic process",21026,3353,"GO:0009142,GO:0009199"
"query_1",TRUE,3.60027185287858e-07,131,747,22,0.0294511378848728,0.16793893129771,"GO:0019079","GO:BP","viral genome replication",21026,5539,"GO:0016032,GO:0019058"
"query_1",TRUE,4.19612165556436e-07,78,747,17,0.0227576974564926,0.217948717948718,"GO:0015986","GO:BP","proton motive force-driven ATP synthesis",21026,5038,"GO:0006754"
"query_1",TRUE,5.21415580817031e-07,253,747,31,0.0414993306559572,0.122529644268775,"GO:0009205","GO:BP","purine ribonucleoside triphosphate metabolic process",21026,3357,"GO:0009144,GO:0009199"
"query_1",TRUE,5.56143771472923e-07,70,747,16,0.0214190093708166,0.228571428571429,"GO:0042273","GO:BP","ribosomal large subunit biogenesis",21026,9977,"GO:0022613,GO:0042254"
"query_1",TRUE,5.77204542252585e-07,345,747,37,0.0495314591700134,0.107246376811594,"GO:0015980","GO:BP","energy derivation by oxidation of organic compounds",21026,5036,"GO:0006091"
"query_1",TRUE,8.01255686247603e-07,126,747,21,0.0281124497991968,0.166666666666667,"GO:0022900","GO:BP","electron transport chain",21026,6597,"GO:0006091"
"query_1",TRUE,8.08647728792154e-07,127,747,21,0.0281124497991968,0.165354330708661,"GO:0009142","GO:BP","nucleoside triphosphate biosynthetic process",21026,3295,"GO:0009141,GO:1901293"
"query_1",TRUE,8.08647728792154e-07,260,747,31,0.0414993306559572,0.119230769230769,"GO:0009199","GO:BP","ribonucleoside triphosphate metabolic process",21026,3351,"GO:0009141"
"query_1",TRUE,8.08647728792154e-07,260,747,31,0.0414993306559572,0.119230769230769,"GO:0009144","GO:BP","purine nucleoside triphosphate metabolic process",21026,3297,"GO:0009141"
