"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042773","ATP synthesis coupled electron transport",88,0.506039635319421,2.61523989144804,1.13994331365506e-10,1.15675747753148e-07,9.34753517197153e-08,1831,"tags=52%, list=25%, signal=40%","9377/891/1537/27089/4537/4728/983/23479/7386/4708/4716/10975/4694/1349/374291/4519/388753/4726/51142/1347/29796/4535/4700/4715/1327/7384/7388/4714/4538/4514/4513/1337/4701/4707/100532726/54205/4718/4709/4540/4724/1351/55967/4541/1329/1340/54949"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",88,0.506039635319421,2.61523989144804,1.13994331365506e-10,1.15675747753148e-07,9.34753517197153e-08,1831,"tags=52%, list=25%, signal=40%","9377/891/1537/27089/4537/4728/983/23479/7386/4708/4716/10975/4694/1349/374291/4519/388753/4726/51142/1347/29796/4535/4700/4715/1327/7384/7388/4714/4538/4514/4513/1337/4701/4707/100532726/54205/4718/4709/4540/4724/1351/55967/4541/1329/1340/54949"
"GO:0006119","oxidative phosphorylation",122,0.473029350555185,2.45107340552027,1e-10,1.15675747753148e-07,9.34753517197153e-08,1831,"tags=54%, list=25%, signal=41%","26471/9377/891/1537/27089/6472/4537/4728/983/23479/7386/4708/84300/4716/10975/2395/521/126328/4694/1349/374291/4519/388753/4726/51142/1347/9551/29796/514/4535/4700/205327/4715/1327/7384/10632/93974/7388/522/4714/4538/54539/51079/4514/30968/4513/1337/4508/4701/4707/4436/100532726/134145/54205/4718/10476/4709/4540/387/4724/1351/55967/4541/1329/1340/54949"
"GO:0000070","mitotic sister chromatid segregation",145,0.458404692418749,2.4141331011518,1e-10,1.15675747753148e-07,9.34753517197153e-08,784,"tags=36%, list=11%, signal=33%","2316/55143/991/4605/891/22974/113130/1062/10459/11065/29128/221150/55055/23397/9918/3837/9212/90417/54892/220134/1063/57405/10051/9928/83540/5347/26271/23636/9493/9371/29127/11130/51203/387893/147841/4085/10403/699/5119/701/983/3835/2491/332/3832/56992/9055/5901/79884/24137/23310/4751"
"GO:0051784","negative regulation of nuclear division",47,0.639348613341067,2.71026597701709,2.19725582695991e-10,1.78373228032605e-07,1.4413998224857e-07,568,"tags=49%, list=8%, signal=45%","55143/991/54998/891/1111/10459/221150/55055/9212/220134/1063/57405/83540/5347/26271/11130/147841/4085/10403/5810/699/701/332"
"GO:0007507","heart development",278,-0.48899368248619,-1.8020351066599,6.92568691214256e-10,4.68522719606444e-07,3.78604217863793e-07,1570,"tags=36%, list=22%, signal=29%","4313/10614/4086/1386/57493/10427/7248/6416/60485/22873/2065/144165/10512/90410/2033/196528/29072/54806/5156/25836/730094/6444/3720/1432/7474/65125/1281/6591/5592/9734/677/9782/80173/221322/4763/25831/7404/2131/2997/2200/7403/5728/3480/3091/205428/5747/221662/6091/57178/161742/23295/130916/23345/27031/4089/9686/79810/7168/2013/3624/23767/1289/1385/23768/79659/90/1009/26585/639/10818/3340/55764/6261/8701/2737/5465/57534/115701/7049/11214/4208/861/324/1301/11096/27250/10060/26011/11174/6659/9472/55553/27295/7139/57538/7135/70/50507/9249/3479"
"GO:0045839","negative regulation of mitotic nuclear division",46,0.632232621903479,2.72975623885256,9.41344740301436e-10,5.4584547155479e-07,4.41087249741244e-07,568,"tags=48%, list=8%, signal=44%","55143/991/54998/891/1111/10459/221150/55055/9212/220134/1063/57405/83540/5347/26271/11130/147841/4085/10403/699/701/332"
"GO:1905818","regulation of chromosome separation",63,0.539230025357057,2.51887937367477,3.0417031036107e-09,1.54328411219448e-06,1.24709827248039e-06,568,"tags=40%, list=8%, signal=37%","55143/991/891/10459/11065/221150/55055/23397/9918/9212/54892/220134/1063/57405/10051/83540/5347/26271/11130/147841/4085/10403/699/701/332"
"GO:0006261","DNA-templated DNA replication",103,0.442682707597662,2.26747694803425,5.68207606498232e-09,2.25746947263204e-06,1.82421775566226e-06,1074,"tags=42%, list=15%, signal=36%","2237/990/84515/5982/9134/56655/54962/51053/8318/7083/4174/4998/9156/5111/672/5984/4173/26271/5983/4175/55388/54107/6117/641/79915/55159/1663/10721/4176/201254/64710/10926/545/63901/8914/4172/5557/92667/6240/5425/23594/64863/675"
"GO:0022900","electron transport chain",100,0.436409506521421,2.21028169478575,6.00921832664553e-09,2.25746947263204e-06,1.82421775566226e-06,1831,"tags=50%, list=25%, signal=38%","9377/891/1537/27089/4537/4728/983/23479/7386/4708/4716/10975/4694/1349/374291/4519/388753/4726/51142/1347/29796/4535/4700/4715/1327/7384/7388/4714/4538/4514/4513/1337/4701/4707/100532726/54205/4718/4709/3052/4540/5339/4724/10954/1351/55967/2109/4541/1329/1340/54949"
