"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045087","innate immune response",373,-0.371318570113231,-1.68852721177329,1.70450879534016e-06,0.00350469986585281,0.00312864291588567,1102,"tags=27%, list=15%, signal=24%","54809/9111/4814/4940/4282/9641/51734/340061/6812/27350/5608/3437/3588/57169/207/85364/84937/51135/26060/3428/4600/112936/6170/79415/83862/8575/140691/10695/567/22933/961/84885/2197/3133/3140/5515/25939/839/10581/10133/22890/4792/53840/10410/10346/9867/5359/7157/7318/4599/9830/3958/8878/9683/10475/3430/3433/715/1374/4061/2934/55601/9246/6737/6609/3659/4939/8519/3105/2896/64135/151636/801/834/3106/9181/10435/1191/5371/4938/11274/6773/83666/54625/6772/26472/9636/3434/716/5272/10318/2534/5587/51191/81603/2537/10417/2634/91543/445"
"GO:0140546","defense response to symbiont",379,-0.366904754035323,-1.67294552190507,1.70669581974814e-06,0.00350469986585281,0.00312864291588567,1425,"tags=31%, list=20%, signal=26%","57142/10010/2633/7706/140823/6347/10383/8724/11331/10906/26268/144811/4671/80254/3148/6223/54809/9111/4814/4940/4282/9641/51734/340061/6812/27350/5608/3437/3588/57169/207/85364/84937/51135/26060/3428/4600/112936/6170/79415/83862/8575/140691/10695/567/22933/961/84885/2197/3133/3140/5515/25939/839/10581/10133/22890/4792/53840/10410/10346/9867/5359/7157/7318/4599/9830/3958/8878/9683/10475/3430/3433/715/1374/4061/2934/55601/9246/6737/6609/3659/4939/8519/3105/2896/64135/151636/801/834/3106/9181/10435/1191/5371/4938/11274/6773/83666/54625/6772/26472/9636/3434/716/5272/10318/2534/5587/51191/81603/2537/10417/2634/91543/445"
"GO:0035456","response to interferon-beta",19,-0.755380931219963,-2.10980463986537,1.32405020739843e-05,0.011444866984506,0.0102168240890481,1037,"tags=68%, list=14%, signal=59%","9641/824/340061/54739/3428/10581/10410/5359/3659/8519/801/4938/6772"
"GO:0060538","skeletal muscle organ development",80,-0.518330866914263,-1.93855700031588,1.36055381774157e-05,0.011444866984506,0.0102168240890481,1124,"tags=35%, list=16%, signal=30%","221662/6840/79647/8531/688/140465/1605/22933/10472/1291/64208/4208/1958/57190/4209/26471/51804/9242/10791/10370/7832/6495/2817/10324/1134/6261/445/101929726"
"GO:0002181","cytoplasmic translation",151,-0.434211145265913,-1.79274526584763,1.95067126592506e-05,0.011444866984506,0.0102168240890481,2417,"tags=54%, list=33%, signal=37%","10605/6165/6128/6154/6155/6232/16/6231/1973/2332/6130/8663/6129/9349/9045/6204/8562/85451/221120/6194/6134/6124/6222/23521/6233/6229/6191/7458/6132/6175/6201/6133/6159/6164/8894/7884/6217/6202/8892/6122/6193/6230/6173/6135/6168/6209/6176/6224/5315/6143/8666/6235/6208/6218/6160/6206/6223/221662/25873/6205/8665/4736/4904/8531/11224/6146/6451/6157/6167/6181/26986/6234/6170/7311/2197/6136/54505/6158/6203/6187/6137"
"GO:0050776","regulation of immune response",350,-0.35860300187792,-1.62562439680638,1.58476467439046e-05,0.011444866984506,0.0102168240890481,1273,"tags=27%, list=18%, signal=24%","144811/5290/868/4671/80254/3148/6223/51571/51111/3988/9111/4814/4940/3566/9641/3956/340061/3554/51324/5608/3077/80762/57169/207/85364/84937/51135/26060/7917/3428/59338/25/29085/2778/11118/567/22933/80381/961/84885/3133/23304/3140/5515/25939/114625/839/22890/4792/149041/9473/4208/9867/5359/1997/1893/11119/10385/3958/8878/9683/3430/715/1374/55601/10616/6737/3659/3105/10459/2896/64135/1281/834/3106/1191/4938/11274/6773/83666/54625/1/9636/975/716/5272/10318/27242/2534/5587/6398/2634/91543/64115/10673"
"GO:0098542","defense response to other organism",450,-0.336795222413088,-1.55419107855812,1.93186328343708e-05,0.011444866984506,0.0102168240890481,1425,"tags=29%, list=20%, signal=25%","57142/10010/2633/7706/140823/6347/10383/8724/11331/10906/23005/26268/144811/1969/4671/80254/3148/6223/4343/54809/9111/4814/4940/4282/665/3566/9641/91351/51734/340061/6812/27350/5608/3437/3588/6464/57169/207/85364/84937/51135/26060/3428/7132/4600/112936/6170/79415/83862/8575/140691/10695/5495/567/22933/961/84885/2197/3133/3140/5515/25939/839/10581/10133/22890/4792/53840/10410/10346/9867/5359/7157/7318/4599/9830/3958/8878/9683/10475/3430/3433/715/1374/4061/2934/55601/9246/10616/6737/6609/3659/4939/8519/3105/10379/2896/64135/151636/801/834/3106/9181/10964/10435/1191/5371/4938/11274/6773/83666/54625/6772/26472/9636/3434/716/5272/10318/2534/5587/51191/81603/2537/10417/2634/91543/11096/445"
"GO:0003012","muscle system process",152,-0.430668758820961,-1.77627962029584,2.95547396368683e-05,0.0151726644610772,0.0135446260730542,1164,"tags=33%, list=16%, signal=28%","4638/8654/10087/2309/490/7135/6546/5608/3720/2946/5606/7132/4000/140465/624/1605/10142/808/10398/817/1291/23213/4205/2593/6332/5997/1140/2934/57190/114907/3759/309/801/7139/8082/2628/6442/7138/5587/287/2308/1760/6641/1146/29995/274/10324/3488/1134/6261"
"GO:0045071","negative regulation of viral genome replication",29,-0.661855206200855,-2.04249845367215,3.46147628717364e-05,0.0157958701238024,0.0141009612961705,1057,"tags=59%, list=15%, signal=50%","4940/27350/57169/3428/10581/10410/5359/4599/9683/4939/8519/64135/4938/9636/3434/10318/91543"
"GO:0048525","negative regulation of viral process",43,-0.588387004263861,-1.96148497514633,4.72368104979729e-05,0.0194001580715175,0.0173185064173094,1057,"tags=49%, list=15%, signal=42%","4940/27350/57169/3428/10581/10410/5359/4599/9830/9683/6737/4939/8519/64135/4938/6772/9636/3434/10318/81603/91543"
"GO:0006936","muscle contraction",110,-0.462807585651475,-1.82739338323786,5.68884563482273e-05,0.0212400809292881,0.0189610041589355,1313,"tags=36%, list=18%, signal=30%","583/7169/5290/4638/8654/10087/490/7135/6546/5608/2946/5606/140465/624/10142/808/10398/817/23213/2593/6332/5997/1140/2934/3759/309/801/7139/8082/6442/7138/5587/287/1760/6641/1146/274/10324/1134/6261"
"GO:0045453","bone resorption",21,0.722451993338167,2.18365408796865,7.40398231179969e-05,0.0253401294621344,0.0226211143789459,1080,"tags=57%, list=15%, signal=49%","50507/10312/7037/1901/7018/2131/9842/1956/4763/133522/4982/7189"
"GO:1903900","regulation of viral life cycle",65,-0.51586106491477,-1.85267569343825,9.32745285216855e-05,0.0294675760491202,0.0263056828211361,1057,"tags=38%, list=15%, signal=33%","4940/3956/27350/682/57169/7153/3428/26986/10581/10410/5359/4599/7155/9683/10475/6737/6609/4939/8519/64135/4938/9636/3434/10318/91543"
"GO:0009617","response to bacterium",183,-0.393202042976697,-1.66540627690137,0.000152208137093174,0.0446513442172617,0.039860221165077,1406,"tags=34%, list=19%, signal=28%","2633/8976/140823/6347/8724/23005/968/836/1969/4671/3148/23641/6223/51571/4940/4282/824/2519/5737/5606/6464/57169/207/51135/8140/7132/6170/25/55008/567/10561/2197/3133/3140/2879/10133/4792/1291/4208/6332/706/132299/10616/4939/3105/2896/27250/834/3106/11145/4938/11274/9636/10318/5106/5587/6415/10417/1734/2634/11096/274/445"
