"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0002181","cytoplasmic translation",151,100,66.34,1,"2.1e-08","2.0e-08"
"GO:0042776","proton motive force-driven mitochondrial...",64,50,28.12,2,"2.3e-08","2.2e-08"
"GO:1902600","proton transmembrane transport",111,75,48.77,3,"3.7e-07","3.5e-07"
"GO:0006120","mitochondrial electron transport, NADH t...",48,38,21.09,4,"6.2e-07","6.1e-07"
"GO:0051241","negative regulation of multicellular org...",379,206,166.51,5,"1.9e-05","1.8e-05"
"GO:0032981","mitochondrial respiratory chain complex ...",57,40,25.04,6,"5.3e-05","5.2e-05"
"GO:0006123","mitochondrial electron transport, cytoch...",18,16,7.91,7,"0.00010","1.0e-04"
"GO:1901699","cellular response to nitrogen compound",296,161,130.05,8,"0.00015","0.00014"
"GO:0007186","G protein-coupled receptor signaling pat...",157,91,68.98,9,"0.00025","0.00024"
"GO:1901701","cellular response to oxygen-containing c...",474,254,208.25,10,"8.1e-06","0.00030"
"GO:0050729","positive regulation of inflammatory resp...",46,32,20.21,11,"0.00039","0.00038"
"GO:0008285","negative regulation of cell population p...",278,150,122.14,12,"0.00040","0.00039"
"GO:0010951","negative regulation of endopeptidase act...",16,14,7.03,13,"0.00042","0.00041"
"GO:0045071","negative regulation of viral genome repl...",29,22,12.74,14,"0.00048","0.00048"
"GO:0051899","membrane depolarization",31,23,13.62,15,"0.00062","0.00061"
"GO:0001817","regulation of cytokine production",267,148,117.31,16,"8.1e-05","0.00064"
"GO:0002683","negative regulation of immune system pro...",207,114,90.95,17,"0.00072","0.00070"
"GO:0036010","protein localization to endosome",15,13,6.59,18,"0.00084","0.00083"
"GO:0061844","antimicrobial humoral immune response me...",12,11,5.27,19,"0.00084","0.00084"
"GO:1903376","regulation of oxidative stress-induced n...",12,11,5.27,20,"0.00084","0.00084"
"GO:0001666","response to hypoxia",134,77,58.87,21,"0.00104","0.00101"
"GO:0051881","regulation of mitochondrial membrane pot...",37,26,16.26,22,"0.00107","0.00106"
"GO:0030218","erythrocyte differentiation",72,45,31.63,23,"0.00112","0.00110"
"GO:0051016","barbed-end actin filament capping",17,14,7.47,24,"0.00140","0.00139"
"GO:0071222","cellular response to lipopolysaccharide",69,43,30.32,25,"0.00156","0.00153"
"GO:1903522","regulation of blood circulation",69,43,30.32,26,"0.00156","0.00153"
"GO:0034341","response to type II interferon",54,35,23.73,27,"0.00157","0.00154"
"GO:0048762","mesenchymal cell differentiation",102,60,44.81,28,"0.00167","0.00164"
"GO:2000177","regulation of neural precursor cell prol...",36,25,15.82,29,"0.00175","0.00173"
"GO:0006122","mitochondrial electron transport, ubiqui...",11,10,4.83,30,"0.00177","0.00176"
