"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0002181","cytoplasmic translation",151,52,17.48,1,"6.4e-14","6.4e-14"
"GO:1902600","proton transmembrane transport",111,32,12.85,2,"5.4e-07","5.4e-07"
"GO:0061844","antimicrobial humoral immune response me...",12,8,1.39,3,"1.0e-05","1.0e-05"
"GO:0045071","negative regulation of viral genome repl...",29,12,3.36,4,"4.2e-05","4.2e-05"
"GO:0006123","mitochondrial electron transport, cytoch...",18,9,2.08,5,"6.6e-05","6.6e-05"
"GO:0006122","mitochondrial electron transport, ubiqui...",11,6,1.27,6,"0.00065","0.00065"
"GO:0042274","ribosomal small subunit biogenesis",87,21,10.07,7,"0.00072","0.00072"
"GO:0015986","proton motive force-driven ATP synthesis",70,18,8.1,8,"0.00077","0.00077"
"GO:0031640","killing of cells of another organism",12,6,1.39,9,"0.00118","0.00118"
"GO:1905562","regulation of vascular endothelial cell ...",16,7,1.85,10,"0.00121","0.00121"
"GO:0140374","antiviral innate immune response",32,10,3.7,11,"0.00242","0.00242"
"GO:0060337","type I interferon-mediated signaling pat...",43,12,4.98,12,"0.00270","0.00270"
"GO:0035633","maintenance of blood-brain barrier",14,6,1.62,13,"0.00312","0.00312"
"GO:0001960","negative regulation of cytokine-mediated...",44,12,5.09,14,"0.00334","0.00334"
"GO:0045765","regulation of angiogenesis",111,23,12.85,15,"0.00364","0.00364"
"GO:0001935","endothelial cell proliferation",67,20,7.76,16,"4.2e-05","0.00411"
"GO:0000902","cell morphogenesis",403,64,46.65,17,"0.00454","0.00454"
"GO:0031547","brain-derived neurotrophic factor recept...",15,6,1.74,18,"0.00469","0.00469"
"GO:0001906","cell killing",47,16,5.44,19,"4.2e-05","0.00479"
"GO:0046597","host-mediated suppression of symbiont in...",11,5,1.27,20,"0.00521","0.00521"
"GO:0042273","ribosomal large subunit biogenesis",52,13,6.02,21,"0.00521","0.00521"
"GO:0071346","cellular response to type II interferon",47,12,5.44,22,"0.00597","0.00597"
"GO:0002062","chondrocyte differentiation",53,13,6.13,23,"0.00619","0.00619"
"GO:0010951","negative regulation of endopeptidase act...",16,6,1.85,24,"0.00679","0.00679"
"GO:0038109","Kit signaling pathway",16,6,1.85,25,"0.00679","0.00679"
"GO:0044331","cell-cell adhesion mediated by cadherin",16,6,1.85,26,"0.00679","0.00679"
"GO:0090288","negative regulation of cellular response...",42,11,4.86,27,"0.00680","0.00680"
"GO:0001819","positive regulation of cytokine producti...",157,29,18.17,28,"0.00684","0.00684"
"GO:0038084","vascular endothelial growth factor signa...",26,8,3.01,29,"0.00722","0.00722"
"GO:0045667","regulation of osteoblast differentiation",60,14,6.95,30,"0.00734","0.00734"
