"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0071363","cellular response to growth factor stimu...",316,166,125.73,1,"1.9e-06","0.00023"
"GO:1902533","positive regulation of intracellular sig...",476,225,189.39,2,"0.00036","0.00035"
"GO:2000027","regulation of animal organ morphogenesis",29,21,11.54,3,"0.00037","0.00037"
"GO:0007169","cell surface receptor protein tyrosine k...",258,139,102.65,4,"2.2e-06","0.00042"
"GO:0003007","heart morphogenesis",108,60,42.97,5,"0.00061","0.00060"
"GO:0030900","forebrain development",167,87,66.44,6,"0.00075","0.00074"
"GO:0050878","regulation of body fluid levels",122,66,48.54,7,"0.00088","0.00087"
"GO:1905330","regulation of morphogenesis of an epithe...",25,18,9.95,8,"0.00110","0.00110"
"GO:0048008","platelet-derived growth factor receptor ...",42,27,16.71,9,"0.00112","0.00112"
"GO:0048638","regulation of developmental growth",123,66,48.94,10,"0.00117","0.00116"
"GO:1901201","regulation of extracellular matrix assem...",13,11,5.17,11,"0.00124","0.00124"
"GO:0071396","cellular response to lipid",239,118,95.09,12,"0.00142","0.00140"
"GO:0071560","cellular response to transforming growth...",135,71,53.71,13,"0.00160","0.00158"
"GO:0009611","response to wounding",227,118,90.32,14,"0.00011","0.00162"
"GO:0010628","positive regulation of gene expression",494,228,196.55,15,"0.00169","0.00165"
"GO:0045597","positive regulation of cell differentiat...",327,156,130.1,16,"0.00178","0.00175"
"GO:0060325","face morphogenesis",15,12,5.97,17,"0.00181","0.00181"
"GO:0007411","axon guidance",59,35,23.47,18,"0.00182","0.00181"
"GO:0002761","regulation of myeloid leukocyte differen...",41,26,16.31,19,"0.00185","0.00184"
"GO:0002062","chondrocyte differentiation",53,32,21.09,20,"0.00189","0.00188"
"GO:0006813","potassium ion transport",45,28,17.9,21,"0.00190","0.00189"
"GO:0006935","chemotaxis",127,67,50.53,22,"0.00193","0.00191"
"GO:0006376","mRNA splice site recognition",24,17,9.55,23,"0.00203","0.00202"
"GO:0141085","regulation of inflammasome-mediated sign...",24,17,9.55,24,"0.00203","0.00202"
"GO:0086002","cardiac muscle cell action potential inv...",17,13,6.76,25,"0.00236","0.00235"
"GO:0007517","muscle organ development",150,77,59.68,26,"0.00250","0.00247"
"GO:0000122","negative regulation of transcription by ...",399,186,158.75,27,"0.00258","0.00253"
"GO:0048813","dendrite morphogenesis",62,36,24.67,28,"0.00266","0.00264"
"GO:0030325","adrenal gland development",12,10,4.77,29,"0.00267","0.00266"
"GO:0030182","neuron differentiation",534,258,212.46,30,"2.0e-05","0.00278"
