"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0048638","regulation of developmental growth",123,90,69.68,1,"9.9e-05","9.8e-05"
"GO:1901701","cellular response to oxygen-containing c...",474,307,268.51,2,"0.00012","0.00012"
"GO:0045597","positive regulation of cell differentiat...",327,223,185.24,3,"7.9e-06","0.00015"
"GO:0050877","nervous system process",294,201,166.55,4,"1.7e-05","0.00032"
"GO:1901699","cellular response to nitrogen compound",296,196,167.68,5,"0.00038","0.00037"
"GO:0010976","positive regulation of neuron projection...",71,54,40.22,6,"0.00051","0.00050"
"GO:0031397","negative regulation of protein ubiquitin...",52,41,29.46,7,"0.00067","0.00066"
"GO:0002181","cytoplasmic translation",151,109,85.54,8,"5.0e-05","0.00085"
"GO:0045598","regulation of fat cell differentiation",51,40,28.89,9,"0.00094","0.00094"
"GO:2000767","positive regulation of cytoplasmic trans...",12,12,6.8,10,"0.00109","0.00108"
"GO:0007411","axon guidance",59,45,33.42,11,"0.00134","0.00133"
"GO:0045087","innate immune response",373,243,211.3,12,"0.00036","0.00147"
"GO:0032677","regulation of interleukin-8 production",16,15,9.06,13,"0.00148","0.00147"
"GO:0042776","proton motive force-driven mitochondrial...",64,48,36.26,14,"0.00176","0.00174"
"GO:0001659","temperature homeostasis",72,57,40.79,15,"4.9e-05","0.00178"
"GO:0097553","calcium ion transmembrane import into cy...",46,36,26.06,16,"0.00182","0.00181"
"GO:0001819","positive regulation of cytokine producti...",157,107,88.94,17,"0.00190","0.00187"
"GO:0051928","positive regulation of calcium ion trans...",30,25,16.99,18,"0.00190","0.00189"
"GO:0001911","negative regulation of leukocyte mediate...",11,11,6.23,19,"0.00192","0.00192"
"GO:0045926","negative regulation of growth",92,66,52.12,20,"0.00195","0.00194"
"GO:0009628","response to abiotic stimulus",510,326,288.91,21,"0.00031","0.00216"
"GO:1903037","regulation of leukocyte cell-cell adhesi...",133,97,75.34,22,"6.7e-05","0.00245"
"GO:0019748","secondary metabolic process",15,14,8.5,23,"0.00246","0.00246"
"GO:0043555","regulation of translation in response to...",15,14,8.5,24,"0.00246","0.00246"
"GO:0009888","tissue development",752,483,426,25,"4.5e-06","0.00246"
"GO:0007369","gastrulation",91,65,51.55,26,"0.00252","0.00249"
"GO:0061061","muscle structure development",321,212,181.84,27,"0.00028","0.00257"
"GO:0009967","positive regulation of signal transducti...",650,402,368.22,28,"0.00274","0.00268"
"GO:0042246","tissue regeneration",29,24,16.43,29,"0.00283","0.00282"
"GO:0007169","cell surface receptor protein tyrosine k...",258,168,146.15,30,"0.00295","0.00291"
