"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0016477","cell migration",563,282,224.65,1,"1.8e-07","5.3e-05"
"GO:0002062","chondrocyte differentiation",51,34,20.35,2,"9.5e-05","9.5e-05"
"GO:0071363","cellular response to growth factor stimu...",302,158,120.5,3,"5.1e-06","9.9e-05"
"GO:0042659","regulation of cell fate specification",15,13,5.99,4,"0.00027","0.00027"
"GO:0046850","regulation of bone remodeling",15,13,5.99,5,"0.00027","0.00027"
"GO:0030900","forebrain development",155,83,61.85,6,"0.00034","0.00034"
"GO:0008360","regulation of cell shape",58,36,23.14,7,"0.00050","0.00050"
"GO:0034331","cell junction maintenance",14,12,5.59,8,"0.00058","0.00058"
"GO:0050868","negative regulation of T cell activation",37,25,14.76,9,"0.00059","0.00059"
"GO:0001525","angiogenesis",208,106,83,10,"0.00066","0.00066"
"GO:0006122","mitochondrial electron transport, ubiqui...",11,10,4.39,11,"0.00071","0.00071"
"GO:0071470","cellular response to osmotic stress",30,21,11.97,12,"0.00080","0.00080"
"GO:0002720","positive regulation of cytokine producti...",23,17,9.18,13,"0.00097","0.00097"
"GO:0007186","G protein-coupled receptor signaling pat...",146,77,58.26,14,"0.00101","0.00101"
"GO:0007166","cell surface receptor signaling pathway",915,414,365.1,15,"0.00021","0.00108"
"GO:0043066","negative regulation of apoptotic process",386,183,154.02,16,"0.00119","0.00119"
"GO:0050729","positive regulation of inflammatory resp...",44,28,17.56,17,"0.00120","0.00120"
"GO:0035456","response to interferon-beta",18,14,7.18,18,"0.00122","0.00122"
"GO:0002181","cytoplasmic translation",149,78,59.45,19,"0.00124","0.00124"
"GO:0045667","regulation of osteoblast differentiation",56,34,22.34,20,"0.00126","0.00126"
"GO:0051592","response to calcium ion",54,33,21.55,21,"0.00126","0.00126"
"GO:0002686","negative regulation of leukocyte migrati...",13,11,5.19,22,"0.00127","0.00127"
"GO:0032967","positive regulation of collagen biosynth...",13,11,5.19,23,"0.00127","0.00127"
"GO:0008285","negative regulation of cell population p...",254,130,101.35,24,"0.00013","0.00133"
"GO:0045937","positive regulation of phosphate metabol...",198,100,79,25,"0.00137","0.00137"
"GO:0071396","cellular response to lipid",219,109,87.38,26,"0.00163","0.00163"
"GO:0030218","erythrocyte differentiation",69,40,27.53,27,"0.00173","0.00173"
"GO:0033273","response to vitamin",35,23,13.97,28,"0.00175","0.00175"
"GO:0071248","cellular response to metal ion",65,38,25.94,29,"0.00181","0.00181"
"GO:0010951","negative regulation of endopeptidase act...",15,12,5.99,30,"0.00186","0.00186"
