"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0050877","nervous system process",283,224,192.89,1,"1.8e-05","1.7e-05"
"GO:0006120","mitochondrial electron transport, NADH t...",48,44,32.72,2,"0.00011","0.00011"
"GO:0045892","negative regulation of DNA-templated tra...",534,401,363.97,3,"0.00016","0.00014"
"GO:0071356","cellular response to tumor necrosis fact...",84,71,57.25,4,"0.00049","0.00047"
"GO:2000026","regulation of multicellular organismal d...",501,373,341.48,5,"0.00083","0.00077"
"GO:0006357","regulation of transcription by RNA polym...",1007,729,686.37,6,"0.00088","0.00078"
"GO:0042776","proton motive force-driven mitochondrial...",64,55,43.62,7,"0.00092","0.00090"
"GO:1904646","cellular response to amyloid-beta",18,18,12.27,8,"0.00100","0.00099"
"GO:0042246","tissue regeneration",30,28,20.45,9,"0.00110","0.00108"
"GO:0050729","positive regulation of inflammatory resp...",45,40,30.67,10,"0.00113","0.00111"
"GO:0035904","aorta development",24,23,16.36,11,"0.00122","0.00120"
"GO:0030177","positive regulation of Wnt signaling pat...",67,57,45.67,12,"0.00127","0.00124"
"GO:1901701","cellular response to oxygen-containing c...",446,337,303.99,13,"0.00024","0.00144"
"GO:0048738","cardiac muscle tissue development",99,81,67.48,14,"0.00159","0.00154"
"GO:0045595","regulation of cell differentiation",582,432,396.69,15,"0.00049","0.00162"
"GO:0141124","intracellular signaling cassette",749,545,510.51,16,"0.00212","0.00193"
"GO:0003203","endocardial cushion morphogenesis",16,16,10.91,17,"0.00216","0.00213"
"GO:0042073","intraciliary transport",27,25,18.4,18,"0.00286","0.00281"
"GO:0001819","positive regulation of cytokine producti...",149,117,101.56,19,"0.00313","0.00302"
"GO:1902600","proton transmembrane transport",111,89,75.66,20,"0.00317","0.00307"
"GO:0032008","positive regulation of TOR signaling",41,36,27.95,21,"0.00335","0.00328"
"GO:0035051","cardiocyte differentiation",71,59,48.39,22,"0.00339","0.00330"
"GO:0006954","inflammatory response",251,198,171.08,23,"8.2e-05","0.00332"
"GO:0003279","cardiac septum development",45,39,30.67,24,"0.00382","0.00374"
"GO:0003231","cardiac ventricle development",49,42,33.4,25,"0.00421","0.00412"
"GO:0048525","negative regulation of viral process",40,35,27.26,26,"0.00436","0.00428"
"GO:0051254","positive regulation of RNA metabolic pro...",819,594,558.23,27,"0.00216","0.00431"
"GO:0009896","positive regulation of catabolic process",291,222,198.34,28,"0.00116","0.00438"
"GO:1902531","regulation of intracellular signal trans...",839,611,571.86,29,"0.00097","0.00450"
"GO:0006754","ATP biosynthetic process",84,74,57.25,30,"1.8e-05","0.00454"
