"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0002181","cytoplasmic translation",149,67,17.12,1,"1.8e-25","1.8e-25"
"GO:0006122","mitochondrial electron transport, ubiqui...",10,7,1.15,2,"2.3e-05","2.3e-05"
"GO:0045071","negative regulation of viral genome repl...",29,12,3.33,3,"3.9e-05","3.9e-05"
"GO:0042274","ribosomal small subunit biogenesis",85,23,9.76,4,"5.7e-05","5.7e-05"
"GO:0061844","antimicrobial humoral immune response me...",12,7,1.38,5,"0.00012","0.00012"
"GO:0070252","actin-mediated cell contraction",49,15,5.63,6,"0.00026","0.00026"
"GO:1902600","proton transmembrane transport",111,26,12.75,7,"0.00026","0.00026"
"GO:0006123","mitochondrial electron transport, cytoch...",18,8,2.07,8,"0.00044","0.00044"
"GO:0002062","chondrocyte differentiation",52,15,5.97,9,"0.00052","0.00052"
"GO:0045667","regulation of osteoblast differentiation",56,15,6.43,10,"0.00122","0.00122"
"GO:2000242","negative regulation of reproductive proc...",21,8,2.41,11,"0.00151","0.00151"
"GO:0015986","proton motive force-driven ATP synthesis",70,17,8.04,12,"0.00193","0.00193"
"GO:0048762","mesenchymal cell differentiation",101,22,11.6,13,"0.00208","0.00208"
"GO:0060538","skeletal muscle organ development",83,19,9.53,14,"0.00225","0.00225"
"GO:0042273","ribosomal large subunit biogenesis",50,13,5.74,15,"0.00338","0.00338"
"GO:0046718","symbiont entry into host cell",56,14,6.43,16,"0.00354","0.00354"
"GO:0006941","striated muscle contraction",68,16,7.81,17,"0.00365","0.00365"
"GO:0001906","cell killing",45,12,5.17,18,"0.00383","0.00383"
"GO:0044331","cell-cell adhesion mediated by cadherin",15,6,1.72,19,"0.00451","0.00451"
"GO:1905562","regulation of vascular endothelial cell ...",15,6,1.72,20,"0.00451","0.00451"
"GO:0060337","type I interferon-mediated signaling pat...",41,11,4.71,21,"0.00527","0.00527"
"GO:0009617","response to bacterium",176,32,20.22,22,"0.00527","0.00527"
"GO:0048514","blood vessel morphogenesis",242,41,27.8,23,"0.00634","0.00634"
"GO:0001935","endothelial cell proliferation",63,18,7.24,24,"0.00017","0.00642"
"GO:0043903","regulation of biological process involve...",16,6,1.84,25,"0.00653","0.00653"
"GO:0002720","positive regulation of cytokine producti...",26,8,2.99,26,"0.00689","0.00689"
"GO:0061035","regulation of cartilage development",26,8,2.99,27,"0.00689","0.00689"
"GO:0051241","negative regulation of multicellular org...",370,58,42.5,28,"0.00753","0.00753"
"GO:0046597","host-mediated suppression of symbiont in...",12,5,1.38,29,"0.00783","0.00783"
"GO:0031644","regulation of nervous system process",32,9,3.68,30,"0.00809","0.00809"
