"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0030216","keratinocyte differentiation",40,27,14.97,1,"0.00011","0.00011"
"GO:0060349","bone morphogenesis",37,25,13.85,2,"0.00019","0.00019"
"GO:0030900","forebrain development",162,82,60.63,3,"0.00037","0.00036"
"GO:0090090","negative regulation of canonical Wnt sig...",63,37,23.58,4,"0.00046","0.00046"
"GO:0007517","muscle organ development",143,73,53.52,5,"0.00055","0.00054"
"GO:0051216","cartilage development",77,43,28.82,6,"0.00073","0.00073"
"GO:0006376","mRNA splice site recognition",24,17,8.98,7,"0.00091","0.00091"
"GO:0007200","phospholipase C-activating G protein-cou...",15,12,5.61,8,"0.00096","0.00096"
"GO:0039532","negative regulation of cytoplasmic patte...",30,20,11.23,9,"0.00108","0.00108"
"GO:0007507","heart development",269,140,100.68,10,"4.6e-07","0.00111"
"GO:0006357","regulation of transcription by RNA polym...",1038,445,388.48,11,"5.2e-05","0.00119"
"GO:0032535","regulation of cellular component size",156,77,58.38,12,"0.00140","0.00138"
"GO:0019098","reproductive behavior",12,10,4.49,13,"0.00154","0.00154"
"GO:0043268","positive regulation of potassium ion tra...",12,10,4.49,14,"0.00154","0.00154"
"GO:0031670","cellular response to nutrient",21,15,7.86,15,"0.00162","0.00161"
"GO:0007411","axon guidance",60,34,22.46,16,"0.00183","0.00182"
"GO:0086003","cardiac muscle cell contraction",33,21,12.35,17,"0.00198","0.00197"
"GO:0010628","positive regulation of gene expression",479,213,179.27,18,"0.00063","0.00200"
"GO:0014706","striated muscle tissue development",171,89,64,19,"5.8e-05","0.00209"
"GO:0051384","response to glucocorticoid",54,31,20.21,20,"0.00217","0.00216"
"GO:0071230","cellular response to amino acid stimulus",48,28,17.96,21,"0.00255","0.00253"
"GO:0001822","kidney development",131,65,49.03,22,"0.00271","0.00268"
"GO:0007417","central nervous system development",390,187,145.96,23,"8.1e-06","0.00296"
"GO:0071560","cellular response to transforming growth...",134,66,50.15,24,"0.00318","0.00314"
"GO:0055017","cardiac muscle tissue growth",36,22,13.47,25,"0.00327","0.00325"
"GO:0035051","cardiocyte differentiation",66,36,24.7,26,"0.00333","0.00331"
"GO:0048638","regulation of developmental growth",118,59,44.16,27,"0.00335","0.00331"
"GO:0031016","pancreas development",24,16,8.98,28,"0.00345","0.00343"
"GO:0036314","response to sterol",11,9,4.12,29,"0.00348","0.00347"
"GO:0086001","cardiac muscle cell action potential",30,19,11.23,30,"0.00350","0.00348"
