"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0006357","regulation of transcription by RNA polym...",1011,582,502,1,"2.4e-08","1.1e-06"
"GO:0045104","intermediate filament cytoskeleton organ...",18,17,8.94,2,"6.4e-05","6.3e-05"
"GO:0048732","gland development",169,108,83.91,3,"0.00011","0.00011"
"GO:0002062","chondrocyte differentiation",50,38,24.83,4,"0.00012","0.00012"
"GO:0002763","positive regulation of myeloid leukocyte...",16,15,7.94,5,"0.00023","0.00023"
"GO:0050789","regulation of biological process",4224,2229,2097.37,6,"1.5e-12","0.00035"
"GO:0071363","cellular response to growth factor stimu...",303,178,150.45,7,"0.00071","0.00069"
"GO:0045944","positive regulation of transcription by ...",526,296,261.18,8,"0.00088","0.00086"
"GO:0090335","regulation of brown fat cell differentia...",10,10,4.97,9,"0.00090","0.00090"
"GO:0050808","synapse organization",189,115,93.85,10,"0.00111","0.00109"
"GO:0022603","regulation of anatomical structure morph...",320,186,158.89,11,"0.00111","0.00109"
"GO:0141124","intracellular signaling cassette",746,410,370.42,12,"0.00115","0.00112"
"GO:0035265","organ growth",74,50,36.74,13,"0.00131","0.00130"
"GO:0045087","innate immune response",357,205,177.26,14,"0.00148","0.00145"
"GO:0008544","epidermis development",104,67,51.64,15,"0.00156","0.00155"
"GO:0007155","cell adhesion",492,276,244.3,16,"0.00168","0.00165"
"GO:0007169","cell surface receptor protein tyrosine k...",246,145,122.15,17,"0.00179","0.00176"
"GO:2000026","regulation of multicellular organismal d...",497,289,246.78,18,"4.7e-05","0.00180"
"GO:0070306","lens fiber cell differentiation",16,14,7.94,19,"0.00190","0.00189"
"GO:0003008","system process",518,289,257.21,20,"0.00204","0.00199"
"GO:0030282","bone mineralization",43,31,21.35,21,"0.00228","0.00227"
"GO:0010631","epithelial cell migration",48,34,23.83,22,"0.00230","0.00229"
"GO:0045596","negative regulation of cell differentiat...",241,141,119.67,23,"0.00306","0.00301"
"GO:0034329","cell junction assembly",182,109,90.37,24,"0.00313","0.00309"
"GO:0000122","negative regulation of transcription by ...",384,217,190.67,25,"0.00324","0.00318"
"GO:0030036","actin cytoskeleton organization",322,184,159.88,26,"0.00342","0.00336"
"GO:0051966","regulation of synaptic transmission, glu...",15,13,7.45,27,"0.00338","0.00337"
"GO:0050794","regulation of cellular process",4127,2167,2049.2,28,"3.3e-10","0.00345"
"GO:0050878","regulation of body fluid levels",119,74,59.09,29,"0.00371","0.00367"
"GO:0003007","heart morphogenesis",105,66,52.14,30,"0.00413","0.00409"
